 关卡ID,场景ID,关卡图标,BOSS出现条件,关卡敌人/常规刷新,固有刷新点1,固有刷新点2,固有刷新点3,固有刷新点4,固有刷新点5,固有刷新点6,固有刷新点7,固有刷新点8,固有刷新点9,固有刷新点10,下一个关卡的ID,关卡类型,体力消耗,剧情的文档ID
level031,scene031,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level032,1,2,0
level032,scene032,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level033,1,2,0
level033,scene033,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level034,1,2,0
level034,scene034,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level035,1,2,0
level035,scene035,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level036,1,2,0
level036,scene036,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level037,1,2,0
level037,scene037,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level038,1,2,0
level038,scene038,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level039,1,2,0
level039,scene039,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level040,1,2,0
level040,scene040,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level041,3,2,0
level041,scene041,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level042,1,2,0
level042,scene042,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level043,1,2,0
level043,scene043,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level044,1,2,0
level044,scene044,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level045,1,2,0
level045,scene045,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level046,1,2,0
level046,scene046,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level047,1,2,0
level047,scene047,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level048,1,2,0
level048,scene048,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level049,1,2,0
level049,scene049,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level050,1,2,0
level050,scene050,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level051,3,2,0
